tof posE posN posU psiRads thetaRads velE velN velU mach speed specificForceX specificForceY specificForceZ tgtE tgtN tgtU
0.1520 0.7799 0.0000 0.8093 0.0000 0.7654 9.9391 0.0000 9.5498 0.0400 13.7835 86.9959 0.0000 -7.0645 3000.0000 0.0000 3000.0000
0.1540 0.8001 0.0000 0.8286 0.0000 0.7644 10.0745 0.0000 9.6603 0.0405 13.9577 87.0705 0.0000 -7.0715 3000.0000 0.0000 3000.0000
0.1560 0.8205 0.0000 0.8482 0.0000 0.7634 10.2101 0.0000 9.7707 0.0410 14.1320 87.1451 0.0000 -7.0783 3000.0000 0.0000 3000.0000
0.1580 0.8412 0.0000 0.8679 0.0000 0.7624 10.3459 0.0000 9.8810 0.0415 14.3064 87.2196 0.0000 -7.0851 3000.0000 0.0000 3000.0000
0.1600 0.8622 0.0000 0.8879 0.0000 0.7614 10.4820 0.0000 9.9914 0.0420 14.4810 87.2942 0.0000 -7.0919 3000.0000 0.0000 3000.0000
0.1620 0.8834 0.0000 0.9081 0.0000 0.7605 10.6183 0.0000 10.1017 0.0426 14.6557 87.3687 0.0000 -7.0985 3000.0000 0.0000 3000.0000
0.1640 0.9049 0.0000 0.9285 0.0000 0.7595 10.7548 0.0000 10.2119 0.0431 14.8306 87.4432 0.0000 -7.1050 3000.0000 0.0000 3000.0000
0.1660 0.9267 0.0000 0.9492 0.0000 0.7586 10.8915 0.0000 10.3221 0.0436 15.0057 87.5177 0.0000 -7.1115 3000.0000 0.0000 3000.0000
0.1680 0.9487 0.0000 0.9701 0.0000 0.7576 11.0284 0.0000 10.4323 0.0441 15.1809 87.5922 0.0000 -7.1179 3000.0000 0.0000 3000.0000
0.1700 0.9711 0.0000 0.9911 0.0000 0.7567 11.1656 0.0000 10.5424 0.0446 15.3562 87.6667 0.0000 -7.1242 3000.0000 0.0000 3000.0000
0.1720 0.9937 0.0000 1.0124 0.0000 0.7558 11.3030 0.0000 10.6525 0.0451 15.5317 87.7411 0.0000 -7.1305 3000.0000 0.0000 3000.0000
0.1740 1.0166 0.0000 1.0340 0.0000 0.7549 11.4406 0.0000 10.7626 0.0456 15.7073 87.8155 0.0000 -7.1367 3000.0000 0.0000 3000.0000
0.1760 1.0397 0.0000 1.0557 0.0000 0.7540 11.5784 0.0000 10.8726 0.0462 15.8831 87.8900 0.0000 -7.1428 3000.0000 0.0000 3000.0000
0.1780 1.0631 0.0000 1.0777 0.0000 0.7531 11.7164 0.0000 10.9826 0.0467 16.0591 87.9644 0.0000 -7.1488 3000.0000 0.0000 3000.0000
0.1800 1.0869 0.0000 1.0999 0.0000 0.7522 11.8547 0.0000 11.0926 0.0472 16.2351 88.0388 0.0000 -7.1548 3000.0000 0.0000 3000.0000
0.1820 1.1108 0.0000 1.1223 0.0000 0.7513 11.9932 0.0000 11.2026 0.0477 16.4114 88.1132 0.0000 -7.1607 3000.0000 0.0000 3000.0000
0.1840 1.1351 0.0000 1.1449 0.0000 0.7505 12.1318 0.0000 11.3125 0.0482 16.5878 88.1876 0.0000 -7.1665 3000.0000 0.0000 3000.0000
0.1860 1.1597 0.0000 1.1677 0.0000 0.7496 12.2707 0.0000 11.4224 0.0487 16.7643 88.2620 0.0000 -7.1723 3000.0000 0.0000 3000.0000
0.1880 1.1845 0.0000 1.1908 0.0000 0.7488 12.4098 0.0000 11.5323 0.0493 16.9410 88.3364 0.0000 -7.1780 3000.0000 0.0000 3000.0000
0.1900 1.2096 0.0000 1.2141 0.0000 0.7479 12.5491 0.0000 11.6421 0.0498 17.1178 88.4108 0.0000 -7.1837 3000.0000 0.0000 3000.0000
0.1920 1.2349 0.0000 1.2376 0.0000 0.7471 12.6886 0.0000 11.7519 0.0503 17.2948 88.4852 0.0000 -7.1893 3000.0000 0.0000 3000.0000
0.1940 1.2606 0.0000 1.2613 0.0000 0.7463 12.8284 0.0000 11.8617 0.0508 17.4719 88.5596 0.0000 -7.1948 3000.0000 0.0000 3000.0000
0.1960 1.2865 0.0000 1.2853 0.0000 0.7455 12.9683 0.0000 11.9715 0.0513 17.6492 88.6340 0.0000 -7.2003 3000.0000 0.0000 3000.0000
0.1980 1.3128 0.0000 1.3094 0.0000 0.7446 13.1084 0.0000 12.0812 0.0519 17.8266 88.7084 0.0000 -7.2057 3000.0000 0.0000 3000.0000
0.2000 1.3393 0.0000 1.3338 0.0000 0.7438 13.2488 0.0000 12.1910 0.0524 18.0042 88.7829 0.0000 -7.2111 3000.0000 0.0000 3000.0000
0.2020 1.3660 0.0000 1.3584 0.0000 0.7430 13.3893 0.0000 12.3007 0.0529 18.1819 88.8573 0.0000 -7.2164 3000.0000 0.0000 3000.0000
0.2040 1.3931 0.0000 1.3832 0.0000 0.7423 13.5301 0.0000 12.4104 0.0534 18.3598 88.9317 0.0000 -7.2217 3000.0000 0.0000 3000.0000
0.2060 1.4204 0.0000 1.4083 0.0000 0.7415 13.6710 0.0000 12.5201 0.0540 18.5378 89.0061 0.0000 -7.2269 3000.0000 0.0000 3000.0000
0.2080 1.4481 0.0000 1.4335 0.0000 0.7407 13.8122 0.0000 12.6297 0.0545 18.7159 89.0805 0.0000 -7.2321 3000.0000 0.0000 3000.0000
0.2100 1.4760 0.0000 1.4590 0.0000 0.7399 13.9536 0.0000 12.7394 0.0550 18.8943 89.1550 0.0000 -7.2372 3000.0000 0.0000 3000.0000
0.2120 1.5042 0.0000 1.4847 0.0000 0.7392 14.0951 0.0000 12.8490 0.0555 19.0727 89.2294 0.0000 -7.2423 3000.0000 0.0000 3000.0000
0.2140 1.5326 0.0000 1.5106 0.0000 0.7384 14.2369 0.0000 12.9586 0.0560 19.2513 89.3039 0.0000 -7.2473 3000.0000 0.0000 3000.0000
0.2160 1.5614 0.0000 1.5368 0.0000 0.7377 14.3788 0.0000 13.0682 0.0566 19.4301 89.3784 0.0000 -7.2523 3000.0000 0.0000 3000.0000
0.2180 1.5904 0.0000 1.5631 0.0000 0.7369 14.5210 0.0000 13.1778 0.0571 19.6090 89.4528 0.0000 -7.2572 3000.0000 0.0000 3000.0000
0.2200 1.6198 0.0000 1.5897 0.0000 0.7362 14.6633 0.0000 13.2874 0.0576 19.7881 89.5273 0.0000 -7.2621 3000.0000 0.0000 3000.0000
0.2220 1.6494 0.0000 1.6165 0.0000 0.7355 14.8059 0.0000 13.3969 0.0582 19.9673 89.6018 0.0000 -7.2669 3000.0000 0.0000 3000.0000
0.2240 1.6793 0.0000 1.6435 0.0000 0.7348 14.9486 0.0000 13.5065 0.0587 20.1466 89.6763 0.0000 -7.2717 3000.0000 0.0000 3000.0000
0.2260 1.7094 0.0000 1.6707 0.0000 0.7340 15.0916 0.0000 13.6160 0.0592 20.3261 89.7509 0.0000 -7.2765 3000.0000 0.0000 3000.0000
