tof posE posN posU tgtE tgtN tgtU normAch pitchRate thetaRate alpha theta sideAch yawRate psiRate beta psi rollAngleComm rollRate phiRate phi
0.0670000000 0.3001663329 0.0104820393 0.2780061428 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7060842157 -0.0000741272 -0.0000741272 0.0304669742 0.7853971220 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0680000000 0.3115984818 0.0108812588 0.2887784597 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7060484120 -0.0000784019 -0.0000784019 0.0302337777 0.7853970458 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0690000000 0.3232794930 0.0112891687 0.2997899952 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7060123265 -0.0000828458 -0.0000828458 0.0300104633 0.7853969652 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0700000000 0.3352094878 0.0117057733 0.3110408711 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7059759819 -0.0000874622 -0.0000874622 0.0297964006 0.7853968800 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0710000000 0.3473885876 0.0121310768 0.3225312094 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7059394012 -0.0000922542 -0.0000922542 0.0295910114 0.7853967901 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0720000000 0.3598169137 0.0125650835 0.3342611321 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7059026081 -0.0000972251 -0.0000972251 0.0293937648 0.7853966954 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0730000000 0.3724945876 0.0130077976 0.3462307610 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7058656266 -0.0001023782 -0.0001023782 0.0292041725 0.7853965956 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0740000000 0.3854217307 0.0134592234 0.3584402180 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7058284813 -0.0001077167 -0.0001077167 0.0290217843 0.7853964906 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0750000000 0.3985984644 0.0139193651 0.3708896253 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7057911973 -0.0001132439 -0.0001132439 0.0288461845 0.7853963801 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0760000000 0.4120249101 0.0143882269 0.3835791048 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7057538000 -0.0001189629 -0.0001189629 0.0286769890 0.7853962640 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0770000000 0.4257011894 0.0148658131 0.3965087784 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7057163156 -0.0001248771 -0.0001248771 0.0285138418 0.7853961420 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0780000000 0.4396274238 0.0153521279 0.4096787682 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7056787706 -0.0001309897 -0.0001309897 0.0283564131 0.7853960141 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0790000000 0.4538037347 0.0158471756 0.4230891964 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7056411920 -0.0001373040 -0.0001373040 0.0282043964 0.7853958800 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0800000000 0.4682302437 0.0163509604 0.4367401848 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7056036073 -0.0001438232 -0.0001438232 0.0280575068 0.7853957394 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0810000000 0.4829070723 0.0168634866 0.4506318557 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7055660446 -0.0001505505 -0.0001505505 0.0279154791 0.7853955922 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0820000000 0.4978343422 0.0173847583 0.4647643311 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7055285323 -0.0001574892 -0.0001574892 0.0277780659 0.7853954382 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0830000000 0.5130121749 0.0179147799 0.4791377332 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7054910996 -0.0001646427 -0.0001646427 0.0276450363 0.7853952771 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0840000000 0.5284406921 0.0184535556 0.4937521840 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7054537758 -0.0001720141 -0.0001720141 0.0275161748 0.7853951088 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0850000000 0.5441200153 0.0190010896 0.5086078057 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7054165910 -0.0001796067 -0.0001796067 0.0273912793 0.7853949330 0.0000000000 0.0000000000 -0.0000000000 -0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0860000000 0.5600502664 0.0195573863 0.5237047205 4000.0000000000 -2000.0000000000 1500.0000000000 -0.7053795757 -0.0001874238 -0.0001874238 0.0272701610 0.7853947495 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0349065850 0.0000000000 0.0000000000 0.0000000000 0.0000000000
