tof posE posN posU tgtE tgtN tgtU alpha beta lethality
0.8300000000 89.1161596685 42.7571648870 71.0309817690 3000.0000000000 3000.0000000000 3000.0000000000 0.0002021316 0.0004698439 FLYING
0.8400000000 91.4535892489 43.9114100900 72.8676117495 3000.0000000000 3000.0000000000 3000.0000000000 0.0001979044 0.0004761069 FLYING
0.8500000000 93.8222599683 45.0827986338 74.7285423010 3000.0000000000 3000.0000000000 3000.0000000000 0.0001937662 0.0004823583 FLYING
0.8600000000 96.2221380182 46.2713826558 76.6137646941 3000.0000000000 3000.0000000000 3000.0000000000 0.0001896901 0.0004885445 FLYING
0.8700000000 98.6531877758 47.4772140405 78.5232694361 3000.0000000000 3000.0000000000 3000.0000000000 0.0001856969 0.0004947149 FLYING
0.8800000000 101.1153717436 48.7003445564 80.4570461800 3000.0000000000 3000.0000000000 3000.0000000000 0.0001817841 0.0005008696 FLYING
0.8900000000 103.6086505274 49.9408258378 82.4150837005 3000.0000000000 3000.0000000000 3000.0000000000 0.0001779492 0.0005070081 FLYING
0.9000000000 106.1329828160 51.1987093649 84.3973698724 3000.0000000000 3000.0000000000 3000.0000000000 0.0001741896 0.0005131300 FLYING
0.9100000000 108.6883253609 52.4740464429 86.4038916475 3000.0000000000 3000.0000000000 3000.0000000000 0.0001705029 0.0005192347 FLYING
0.9200000000 111.2746329564 53.7668881816 88.4346350334 3000.0000000000 3000.0000000000 3000.0000000000 0.0001668871 0.0005253218 FLYING
0.9300000000 113.8918584193 55.0772854744 90.4895850711 3000.0000000000 3000.0000000000 3000.0000000000 0.0001633427 0.0005313992 FLYING
0.9400000000 116.5399545299 56.4052899937 92.5687273499 3000.0000000000 3000.0000000000 3000.0000000000 0.0001599012 0.0005375675 FLYING
0.9500000000 119.2188976445 57.7509664630 94.6720665216 3000.0000000000 3000.0000000000 3000.0000000000 0.0001565205 0.0005437268 FLYING
0.9600000000 121.9286634094 59.1143801196 96.7996072776 3000.0000000000 3000.0000000000 3000.0000000000 0.0001531992 0.0005498780 FLYING
0.9700000000 124.6692267616 60.4955967171 98.9513543459 3000.0000000000 3000.0000000000 3000.0000000000 0.0001499356 0.0005560210 FLYING
0.9800000000 127.4405619307 61.8946825232 101.1273124893 3000.0000000000 3000.0000000000 3000.0000000000 0.0001467280 0.0005621557 FLYING
0.9900000000 130.2426424407 63.3117043183 103.3274865040 3000.0000000000 3000.0000000000 3000.0000000000 0.0001435748 0.0005682820 FLYING
1.0000000000 133.0754411120 64.7467293935 105.5518812181 3000.0000000000 3000.0000000000 3000.0000000000 0.0001404746 0.0005743996 FLYING
1.0100000000 135.9389300629 66.1998255487 107.8005014904 3000.0000000000 3000.0000000000 3000.0000000000 0.0001374258 0.0005805084 FLYING
1.0200000000 138.8330807120 67.6710610906 110.0733522091 3000.0000000000 3000.0000000000 3000.0000000000 0.0001344270 0.0005866084 FLYING
1.0300000000 141.7578637795 69.1605048308 112.3704382900 3000.0000000000 3000.0000000000 3000.0000000000 0.0001314770 0.0005926994 FLYING
1.0400000000 144.7132492893 70.6682260837 114.6917646758 3000.0000000000 3000.0000000000 3000.0000000000 0.0001285745 0.0005987811 FLYING
1.0500000000 147.6992065710 72.1942946643 117.0373363347 3000.0000000000 3000.0000000000 3000.0000000000 0.0001257196 0.0006048577 FLYING
1.0600000000 150.7157043105 73.7387809308 119.4071582971 3000.0000000000 3000.0000000000 3000.0000000000 0.0001229149 0.0006109418 FLYING
1.0700000000 153.7627107045 75.3017559210 121.8012357740 3000.0000000000 3000.0000000000 3000.0000000000 0.0001201540 0.0006170170 FLYING
1.0800000000 156.8401932691 76.8832911786 124.2195740073 3000.0000000000 3000.0000000000 3000.0000000000 0.0001174359 0.0006230832 FLYING
1.0900000000 159.9481182653 78.4834584541 126.6621778161 3000.0000000000 3000.0000000000 3000.0000000000 0.0001147595 0.0006291400 FLYING
