TOF RNG ALT THETA RATE ALPHA ALPHADOT RATEDOT WDOT
1.9500 2339.9999 9939.2491 -0.0619 -0.0155 -0.0100 0.0106 0.0687 -0.0998
1.9600 2351.9999 9938.6220 -0.0621 -0.0148 -0.0099 0.0113 0.0680 -0.0988
1.9700 2363.9999 9937.9918 -0.0622 -0.0141 -0.0098 0.0120 0.0672 -0.0977
1.9800 2375.9999 9937.3583 -0.0624 -0.0135 -0.0096 0.0127 0.0664 -0.0966
1.9900 2387.9998 9936.7216 -0.0625 -0.0128 -0.0095 0.0133 0.0655 -0.0954
2.0000 2399.9998 9936.0817 -0.0626 -0.0122 -0.0094 0.0140 0.0646 -0.0942
2.0100 2411.9998 9935.4385 -0.0627 -0.0115 -0.0092 0.0146 0.0637 -0.0929
2.0200 2423.9998 9934.7921 -0.0629 -0.0109 -0.0091 0.0153 0.0627 -0.0915
2.0300 2435.9997 9934.1425 -0.0630 -0.0103 -0.0089 0.0159 0.0617 -0.0901
2.0400 2447.9997 9933.4897 -0.0631 -0.0097 -0.0087 0.0165 0.0606 -0.0886
2.0500 2459.9997 9932.8336 -0.0632 -0.0091 -0.0086 0.0171 0.0595 -0.0870
2.0600 2471.9996 9932.1744 -0.0633 -0.0085 -0.0084 0.0177 0.0584 -0.0854
2.0700 2483.9996 9931.5118 -0.0633 -0.0079 -0.0082 0.0183 0.0572 -0.0837
2.0800 2495.9996 9930.8461 -0.0634 -0.0074 -0.0080 0.0189 0.0560 -0.0820
2.0900 2507.9996 9930.1772 -0.0635 -0.0068 -0.0078 0.0194 0.0547 -0.0802
2.1000 2519.9995 9929.5050 -0.0636 -0.0063 -0.0076 0.0200 0.0534 -0.0783
2.1100 2531.9995 9928.8296 -0.0636 -0.0058 -0.0074 0.0205 0.0520 -0.0764
2.1200 2543.9995 9928.1509 -0.0637 -0.0053 -0.0072 0.0210 0.0507 -0.0745
2.1300 2555.9994 9927.4691 -0.0637 -0.0048 -0.0070 0.0215 0.0492 -0.0724
2.1400 2567.9994 9926.7840 -0.0638 -0.0043 -0.0068 0.0220 0.0478 -0.0704
2.1500 2579.9994 9926.0957 -0.0638 -0.0038 -0.0065 0.0225 0.0463 -0.0682
2.1600 2591.9993 9925.4041 -0.0639 -0.0034 -0.0063 0.0229 0.0448 -0.0661
2.1700 2603.9993 9924.7094 -0.0639 -0.0030 -0.0061 0.0234 0.0432 -0.0638
2.1800 2615.9993 9924.0114 -0.0639 -0.0025 -0.0058 0.0238 0.0416 -0.0616
2.1900 2627.9992 9923.3102 -0.0640 -0.0021 -0.0056 0.0242 0.0400 -0.0592
2.2000 2639.9992 9922.6058 -0.0640 -0.0018 -0.0054 0.0246 0.0384 -0.0569
2.2100 2651.9991 9921.8981 -0.0640 -0.0014 -0.0051 0.0250 0.0367 -0.0544
2.2200 2663.9991 9921.1873 -0.0640 -0.0010 -0.0048 0.0254 0.0350 -0.0520
2.2300 2675.9991 9920.4732 -0.0640 -0.0007 -0.0046 0.0257 0.0333 -0.0495
2.2400 2687.9990 9919.7559 -0.0640 -0.0004 -0.0043 0.0260 0.0315 -0.0469
2.2500 2699.9990 9919.0353 -0.0640 -0.0001 -0.0041 0.0264 0.0298 -0.0443
2.2600 2711.9990 9918.3116 -0.0640 0.0002 -0.0038 0.0267 0.0280 -0.0417
2.2700 2723.9989 9917.5846 -0.0640 0.0005 -0.0035 0.0269 0.0261 -0.0390
