TOF EAST NORTH UP EAST_V NORTH_V UP_V EAST_A NORTH_A UP_A
0.295 285.597 74.0204 84.9609 930.385 331.575 333.078 -291.808 534.785 282.734
0.296 286.528 74.3522 85.2941 930.093 332.11 333.361 -292.12 534.561 282.475
0.297 287.458 74.6846 85.6276 929.801 332.644 333.643 -292.432 534.336 282.217
0.298 288.387 75.0175 85.9614 929.509 333.178 333.925 -292.742 534.109 281.958
0.299 289.317 75.351 86.2954 929.216 333.712 334.207 -293.052 533.881 281.698
0.3 290.246 75.6849 86.6298 928.922 334.246 334.488 -293.361 533.652 281.439
0.301 291.175 76.0194 86.9644 928.629 334.78 334.77 -293.669 533.422 281.179
0.302 292.103 76.3545 87.2993 928.335 335.313 335.051 -293.976 533.19 280.919
0.303 293.031 76.6901 87.6345 928.041 335.846 335.332 -294.282 532.957 280.659
0.304 293.959 77.0262 87.97 927.747 336.379 335.612 -294.587 532.723 280.398
0.305 294.887 77.3628 88.3057 927.452 336.912 335.892 -294.891 532.488 280.137
0.306 295.814 77.7 88.6418 927.157 337.444 336.172 -295.195 532.251 279.876
0.307 296.741 78.0377 88.9781 926.861 337.976 336.452 -295.497 532.014 279.615
0.308 297.668 78.376 89.3147 926.566 338.508 336.732 -295.799 531.774 279.353
0.309 298.594 78.7147 89.6515 926.27 339.04 337.011 -296.099 531.534 279.092
0.31 299.52 79.054 89.9887 925.974 339.571 337.29 -296.399 531.293 278.829
0.311 300.446 79.3939 90.3261 925.677 340.102 337.568 -296.698 531.05 278.567
0.312 301.372 79.7342 90.6638 925.38 340.633 337.847 -296.996 530.806 278.305
0.313 302.297 80.0751 91.0018 925.083 341.164 338.125 -297.293 530.56 278.042
0.314 303.222 80.4166 91.3401 924.786 341.694 338.403 -297.589 530.314 277.779
0.315 304.146 80.7585 91.6786 924.488 342.224 338.681 -297.885 530.066 277.515
0.316 305.071 81.101 92.0174 924.19 342.754 338.958 -298.179 529.817 277.252
0.317 305.995 81.444 92.3565 923.892 343.284 339.235 -298.472 529.567 276.988
0.318 306.919 81.7876 92.6959 923.593 343.814 339.512 -298.765 529.316 276.724
0.319 307.842 82.1317 93.0356 923.294 344.343 339.789 -299.056 529.063 276.46
