tof posE posN posU psiRads thetaRads velE velN velU mach speed specificForceX specificForceY specificForceZ tgtE tgtN tgtU
0.1240 0.7602 0.0000 1.2477 0.0000 1.0366 11.2768 0.0000 19.0626 0.0641 22.1484 168.7193 0.0000 4.7053 3000.0000 0.0000 3000.0000
0.1260 0.7831 0.0000 1.2865 0.0000 1.0370 11.4405 0.0000 19.3578 0.0651 22.4857 168.6601 0.0000 4.7054 3000.0000 0.0000 3000.0000
0.1280 0.8063 0.0000 1.3258 0.0000 1.0374 11.6039 0.0000 19.6528 0.0661 22.8229 168.6009 0.0000 4.7053 3000.0000 0.0000 3000.0000
0.1300 0.8298 0.0000 1.3657 0.0000 1.0378 11.7672 0.0000 19.9479 0.0671 23.1600 168.5417 0.0000 4.7051 3000.0000 0.0000 3000.0000
0.1320 0.8537 0.0000 1.4061 0.0000 1.0382 11.9303 0.0000 20.2429 0.0681 23.4970 168.4825 0.0000 4.7048 3000.0000 0.0000 3000.0000
0.1340 0.8779 0.0000 1.4472 0.0000 1.0386 12.0932 0.0000 20.5379 0.0691 23.8338 168.4232 0.0000 4.7044 3000.0000 0.0000 3000.0000
0.1360 0.9024 0.0000 1.4889 0.0000 1.0390 12.2560 0.0000 20.8328 0.0700 24.1705 168.3640 0.0000 4.7039 3000.0000 0.0000 3000.0000
0.1380 0.9272 0.0000 1.5311 0.0000 1.0394 12.4185 0.0000 21.1277 0.0710 24.5071 168.3047 0.0000 4.7033 3000.0000 0.0000 3000.0000
0.1400 0.9524 0.0000 1.5740 0.0000 1.0398 12.5809 0.0000 21.4226 0.0720 24.8436 168.2454 0.0000 4.7026 3000.0000 0.0000 3000.0000
0.1420 0.9779 0.0000 1.6174 0.0000 1.0402 12.7432 0.0000 21.7174 0.0730 25.1800 168.1861 0.0000 4.7018 3000.0000 0.0000 3000.0000
0.1440 1.0037 0.0000 1.6614 0.0000 1.0405 12.9052 0.0000 22.0121 0.0740 25.5163 168.1268 0.0000 4.7009 3000.0000 0.0000 3000.0000
0.1460 1.0298 0.0000 1.7061 0.0000 1.0409 13.0671 0.0000 22.3069 0.0750 25.8524 168.0675 0.0000 4.6999 3000.0000 0.0000 3000.0000
0.1480 1.0563 0.0000 1.7513 0.0000 1.0412 13.2289 0.0000 22.6016 0.0760 26.1884 168.0081 0.0000 4.6988 3000.0000 0.0000 3000.0000
0.1500 1.0831 0.0000 1.7971 0.0000 1.0416 13.3904 0.0000 22.8962 0.0770 26.5243 167.9488 0.0000 4.6976 3000.0000 0.0000 3000.0000
0.1520 1.1102 0.0000 1.8434 0.0000 1.0420 13.5518 0.0000 23.1908 0.0779 26.8601 167.8894 0.0000 4.6963 3000.0000 0.0000 3000.0000
0.1540 1.1376 0.0000 1.8904 0.0000 1.0423 13.7131 0.0000 23.4853 0.0789 27.1958 167.8300 0.0000 4.6949 3000.0000 0.0000 3000.0000
0.1560 1.1653 0.0000 1.9380 0.0000 1.0426 13.8742 0.0000 23.7798 0.0799 27.5313 167.7705 0.0000 4.6934 3000.0000 0.0000 3000.0000
0.1580 1.1934 0.0000 1.9861 0.0000 1.0430 14.0351 0.0000 24.0743 0.0809 27.8667 167.7110 0.0000 4.6918 3000.0000 0.0000 3000.0000
0.1600 1.2218 0.0000 2.0349 0.0000 1.0433 14.1959 0.0000 24.3687 0.0819 28.2020 167.6516 0.0000 4.6901 3000.0000 0.0000 3000.0000
0.1620 1.2505 0.0000 2.0842 0.0000 1.0436 14.3565 0.0000 24.6630 0.0829 28.5372 167.5920 0.0000 4.6883 3000.0000 0.0000 3000.0000
0.1640 1.2795 0.0000 2.1341 0.0000 1.0440 14.5170 0.0000 24.9573 0.0839 28.8723 167.5325 0.0000 4.6865 3000.0000 0.0000 3000.0000
0.1660 1.3089 0.0000 2.1846 0.0000 1.0443 14.6773 0.0000 25.2515 0.0848 29.2072 167.4729 0.0000 4.6845 3000.0000 0.0000 3000.0000
0.1680 1.3386 0.0000 2.2357 0.0000 1.0446 14.8374 0.0000 25.5457 0.0858 29.5421 167.4134 0.0000 4.6825 3000.0000 0.0000 3000.0000
0.1700 1.3686 0.0000 2.2874 0.0000 1.0449 14.9974 0.0000 25.8399 0.0868 29.8768 167.3537 0.0000 4.6803 3000.0000 0.0000 3000.0000
0.1720 1.3989 0.0000 2.3396 0.0000 1.0452 15.1573 0.0000 26.1339 0.0878 30.2114 167.2941 0.0000 4.6781 3000.0000 0.0000 3000.0000
0.1740 1.4295 0.0000 2.3925 0.0000 1.0455 15.3170 0.0000 26.4280 0.0888 30.5458 167.2344 0.0000 4.6758 3000.0000 0.0000 3000.0000
0.1760 1.4605 0.0000 2.4459 0.0000 1.0458 15.4766 0.0000 26.7219 0.0898 30.8802 167.1747 0.0000 4.6734 3000.0000 0.0000 3000.0000
0.1780 1.4917 0.0000 2.5000 0.0000 1.0461 15.6360 0.0000 27.0158 0.0907 31.2144 167.1150 0.0000 4.6709 3000.0000 0.0000 3000.0000
0.1800 1.5233 0.0000 2.5546 0.0000 1.0464 15.7953 0.0000 27.3097 0.0917 31.5485 167.0553 0.0000 4.6683 3000.0000 0.0000 3000.0000
0.1820 1.5552 0.0000 2.6098 0.0000 1.0467 15.9544 0.0000 27.6035 0.0927 31.8825 166.9955 0.0000 4.6656 3000.0000 0.0000 3000.0000
0.1840 1.5875 0.0000 2.6656 0.0000 1.0470 16.1134 0.0000 27.8972 0.0937 32.2164 166.9357 0.0000 4.6629 3000.0000 0.0000 3000.0000
0.1860 1.6200 0.0000 2.7220 0.0000 1.0473 16.2723 0.0000 28.1908 0.0947 32.5501 166.8758 0.0000 4.6600 3000.0000 0.0000 3000.0000
0.1880 1.6529 0.0000 2.7789 0.0000 1.0476 16.4310 0.0000 28.4845 0.0957 32.8838 166.8160 0.0000 4.6571 3000.0000 0.0000 3000.0000
0.1900 1.6861 0.0000 2.8365 0.0000 1.0479 16.5896 0.0000 28.7780 0.0966 33.2173 166.7561 0.0000 4.6541 3000.0000 0.0000 3000.0000
0.1920 1.7196 0.0000 2.8946 0.0000 1.0481 16.7480 0.0000 29.0715 0.0976 33.5507 166.6961 0.0000 4.6510 3000.0000 0.0000 3000.0000
0.1940 1.7534 0.0000 2.9534 0.0000 1.0484 16.9064 0.0000 29.3649 0.0986 33.8840 166.6362 0.0000 4.6478 3000.0000 0.0000 3000.0000
0.1960 1.7875 0.0000 3.0127 0.0000 1.0487 17.0645 0.0000 29.6583 0.0996 34.2171 166.5762 0.0000 4.6446 3000.0000 0.0000 3000.0000
0.1980 1.8219 0.0000 3.0726 0.0000 1.0490 17.2226 0.0000 29.9515 0.1006 34.5501 166.5161 0.0000 4.6412 3000.0000 0.0000 3000.0000
0.2000 1.8567 0.0000 3.1331 0.0000 1.0492 17.3805 0.0000 30.2448 0.1015 34.8831 166.4561 0.0000 4.6378 3000.0000 0.0000 3000.0000
0.2020 1.8918 0.0000 3.1942 0.0000 1.0495 17.5383 0.0000 30.5379 0.1025 35.2158 166.3960 0.0000 4.6343 3000.0000 0.0000 3000.0000
0.2040 1.9272 0.0000 3.2558 0.0000 1.0497 17.6959 0.0000 30.8310 0.1035 35.5485 166.3359 0.0000 4.6307 3000.0000 0.0000 3000.0000
0.2060 1.9629 0.0000 3.3181 0.0000 1.0500 17.8534 0.0000 31.1241 0.1045 35.8811 166.2757 0.0000 4.6270 3000.0000 0.0000 3000.0000
0.2080 1.9989 0.0000 3.3809 0.0000 1.0503 18.0108 0.0000 31.4170 0.1054 36.2135 166.2155 0.0000 4.6233 3000.0000 0.0000 3000.0000
0.2100 2.0352 0.0000 3.4443 0.0000 1.0505 18.1681 0.0000 31.7099 0.1064 36.5458 166.1553 0.0000 4.6195 3000.0000 0.0000 3000.0000
0.2120 2.0719 0.0000 3.5083 0.0000 1.0508 18.3252 0.0000 32.0027 0.1074 36.8780 166.0950 0.0000 4.6156 3000.0000 0.0000 3000.0000
0.2140 2.1088 0.0000 3.5729 0.0000 1.0510 18.4822 0.0000 32.2955 0.1084 37.2101 166.0347 0.0000 4.6116 3000.0000 0.0000 3000.0000
