tof posX posY posZ tgtX tgtY tgtZ normAch pitchRate alpha theta sideAch yawRate beta psi rollRate phi
0.0960000000 0.4874669533 0.1774234612 0.8528481689 5000.0000000000 0.0000000000 3000.0000000000 -0.4985351477 -0.0001957865 0.0186616305 1.0471935272 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0970000000 0.4998989208 0.1819483273 0.8748122051 5000.0000000000 0.0000000000 3000.0000000000 -0.4985118038 -0.0002031694 0.0185977738 1.0471933278 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0980000000 0.5124986920 0.1865342690 0.8970757557 5000.0000000000 0.0000000000 3000.0000000000 -0.4984888594 -0.0002107379 0.0185355086 1.0471931208 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.0990000000 0.5252663482 0.1911813158 0.9196389704 5000.0000000000 0.0000000000 3000.0000000000 -0.4984663403 -0.0002184944 0.0184747718 1.0471929062 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.1000000000 0.5382019703 0.1958894972 0.9425019989 5000.0000000000 0.0000000000 3000.0000000000 -0.4984442729 -0.0002264411 0.0184155036 1.0471926837 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.1010000000 0.5513056395 0.2006588428 0.9656649911 5000.0000000000 0.0000000000 3000.0000000000 -0.4984226838 -0.0002345804 0.0183576473 1.0471924532 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.1020000000 0.5645774370 0.2054893820 0.9891280967 5000.0000000000 0.0000000000 3000.0000000000 -0.4984016002 -0.0002429146 0.0183011492 1.0471922145 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.1030000000 0.5780174438 0.2103811444 1.0128914656 5000.0000000000 0.0000000000 3000.0000000000 -0.4983810493 -0.0002514459 0.0182459582 1.0471919673 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.1040000000 0.5916257412 0.2153341596 1.0369552475 5000.0000000000 0.0000000000 3000.0000000000 -0.4983610589 -0.0002601767 0.0181920255 1.0471917115 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.1050000000 0.6054024103 0.2203484571 1.0613195923 5000.0000000000 0.0000000000 3000.0000000000 -0.4983416572 -0.0002691094 0.0181393050 1.0471914468 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.1060000000 0.6193475324 0.2254240664 1.0859846499 5000.0000000000 0.0000000000 3000.0000000000 -0.4983228725 -0.0002782461 0.0180877527 1.0471911732 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.1070000000 0.6334611886 0.2305610172 1.1109505701 5000.0000000000 0.0000000000 3000.0000000000 -0.4983047337 -0.0002875892 0.0180373267 1.0471908902 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
0.1080000000 0.6477434603 0.2357593390 1.1362175030 5000.0000000000 0.0000000000 3000.0000000000 -0.4982872700 -0.0002971411 0.0179879871 1.0471905979 -0.0000000000 -0.0000000000 0.0000000000 0.3490658504 -0.0000000000 -0.0000000000
