timeOfFlight(s) posEast(m) posNorth(m) posUp(m) velEast(m/s) velNorth(m/s) velUp(m/s) accEast(m/s^2) accNorth(m/s^2) accUp(m/s^2) alpha(rads) beta(rads) normalAccCommand(m/s^2) normalAccAchieved(m/s^2) sideAccCommand(m/s^2) sideAccAchieved(m/s^2) targetEast(m) targetNorth(m) targetUp(m)
0.04400000000000003 0.14648569327694425 -0.08457429782022738 0.43910954397776614 6.275106312822667 -3.623025449662122 18.59704157033379 138.28219748433744 -79.84670437285374 400.2333433721265 1.6353635054618023e-06 -1.629159861579724e-05 -0.043966415733671944 -4.4681512480546477e-07 0.44717023363668224 4.446647224774777e-06 3000 3000 3000
0.04500000000000003 0.15289914461660342 -0.08827720708959556 0.45810678986241493 6.413451339659179 -3.702909269368178 18.997245884648773 138.34502683651223 -79.88381970605619 400.20431431498383 1.7749395497081064e-06 -1.7699829992002784e-05 -0.04588172650891827 -5.075410134728122e-07 0.4671259198097138 5.056156900697308e-06 3000 3000 3000
0.046000000000000034 0.1594510024750807 -0.09206003657524109 0.4775042115956496 6.551857858477287 -3.782829485645523 19.39742173323469 138.40651881810754 -79.92021627734502 400.1758485859178 1.9229521471382292e-06 -1.9194730502518904e-05 -0.04783675698910569 -5.74897630216073e-07 0.4875172658650211 5.732922183389926e-06 3000 3000 3000
0.047000000000000035 0.16614132706012047 -0.0959228219877021 0.4973017812516499 6.690324585039773 -3.8627854124610184 19.797569656000316 138.46672656248583 -79.95592681549566 400.14792276562747 2.079705111571317e-06 -2.0779520672091426e-05 -0.04983145658302897 -6.49437523125254e-07 0.5083442706477901 6.482625298140185e-06 3000 3000 3000
0.048000000000000036 0.1729701773450956 -0.09986559838235254 0.517499471422485 6.82885028497513 -3.9427763946504295 20.197690170835102 138.52569993535744 -79.99098218941124 400.12051483478666 2.2455055922779787e-06 -2.2457460688402454e-05 -0.05186577522878823 -7.317462557281399e-07 0.5296069327738068 7.31129445478907e-06 3000 3000 3000
0.04900000000000004 0.17993761111586346 -0.10388840018855948 0.5380972551973839 6.9674337707678635 -4.022801806206942 20.597783774898975 138.58348579273397 -80.02541155651332 400.09360406387214 2.4206639921472903e-06 -2.4231849578405215e-05 -0.05393966334610975 -8.224425661784367e-07 0.5513052506350987 8.225306436580531e-06 3000 3000 3000
0.05000000000000004 0.1870436850148452 -0.1079912612372631 0.5590951061431966 7.1060738989817285 -4.102861048703626 20.997850945812612 138.64012821386464 -80.05924249668392 400.0671709136364 2.605493887598848e-06 -2.6106024401140393e-05 -0.05605307179070813 -9.221798717745718e-07 0.573439222405313 9.231402629180064e-06 3000 3000 3000
0.05100000000000004 0.19428845458253893 -0.11217421478710016 0.5804929982859542 7.244769567693734 -4.182953549837056 21.397892142757627 138.69566871200556 -80.09250113343057 400.0411969450148 2.8003119501912995e-06 -2.8083359456683022e-05 -0.05820595181052216 -1.0316467987604204e-06 0.5960088460448403 1.0336695332940007e-05 3000 3000 3000
0.05200000000000004 0.20167197429665817 -0.1164372935491809 0.6022909060934493 7.38351971411925 -4.26307876208075 21.797907807495037 138.7501464255159 -80.12521224369313 400.01566473741036 3.0054378698802156e-06 -3.016726551087593e-05 -0.06039825500367649 -1.1515685693563888e-06 0.6190141193057168 1.154868266679666e-05 3000 3000 3000
0.05300000000000004 0.20919429760906888 -0.1207805297106192 0.6244888044587588 7.522323312410694 -4.3432361614383 22.197898365309474 138.80359829144442 -80.15739935755043 399.9905578144371 3.2211942798794767e-06 -3.2361189035512176e-05 -0.0626299332780326 -1.2827084244427895e-06 0.6424550397363126 1.2875263871797176e-05 3000 3000 3000
