TOF EAST NORTH UP EAST_V NORTH_V UP_V EAST_A NORTH_A UP_A tgtE tgtN tgtU
0.191 184.805 42.2651 59.8398 927.616 272.854 389.333 -498.501 532.636 814.433 5000 10000 12500
0.192 185.732 42.5382 60.2296 927.116 273.386 390.148 -499.748 532.344 814.536 5000 10000 12500
0.193 186.659 42.8119 60.6201 926.616 273.918 390.962 -500.994 532.048 814.635 5000 10000 12500
0.194 187.586 43.0861 61.0115 926.114 274.45 391.777 -502.239 531.748 814.731 5000 10000 12500
0.195 188.512 43.3608 61.4037 925.612 274.982 392.592 -503.483 531.445 814.822 5000 10000 12500
0.196 189.437 43.636 61.7967 925.107 275.513 393.407 -504.726 531.137 814.908 5000 10000 12500
0.197 190.362 43.9118 62.1905 924.602 276.044 394.221 -505.967 530.826 814.991 5000 10000 12500
0.198 191.286 44.1881 62.5851 924.096 276.575 395.037 -507.208 530.511 815.07 5000 10000 12500
0.199 192.21 44.465 62.9805 923.588 277.105 395.852 -508.447 530.192 815.144 5000 10000 12500
0.2 193.133 44.7423 63.3768 923.079 277.635 396.667 -509.685 529.869 815.215 5000 10000 12500
0.201 194.056 45.0202 63.7739 922.568 278.165 397.482 -510.921 529.543 815.281 5000 10000 12500
0.202 194.978 45.2987 64.1718 922.057 278.694 398.297 -512.157 529.213 815.343 5000 10000 12500
0.203 195.9 45.5776 64.5705 921.544 279.223 399.113 -513.391 528.879 815.401 5000 10000 12500
0.204 196.822 45.8571 64.97 921.03 279.752 399.928 -514.624 528.541 815.455 5000 10000 12500
0.205 197.742 46.1371 65.3703 920.515 280.28 400.744 -515.855 528.199 815.505 5000 10000 12500
0.206 198.663 46.4177 65.7715 919.998 280.808 401.559 -517.085 527.853 815.551 5000 10000 12500
0.207 199.582 46.6987 66.1735 919.481 281.336 402.375 -518.314 527.504 815.592 5000 10000 12500
0.208 200.502 46.9803 66.5762 918.962 281.863 403.19 -519.541 527.151 815.629 5000 10000 12500
0.209 201.42 47.2625 66.9798 918.442 282.39 404.006 -520.767 526.794 815.663 5000 10000 12500
0.21 202.338 47.5451 67.3842 917.92 282.917 404.822 -521.991 526.433 815.692 5000 10000 12500
0.211 203.256 47.8283 67.7895 917.398 283.443 405.637 -523.214 526.068 815.716 5000 10000 12500
0.212 204.173 48.112 68.1955 916.874 283.969 406.453 -524.436 525.7 815.737 5000 10000 12500
